series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Computer, communications and other services (% of commercial service exports)",Peru,PER,-5.614331585,-9.350390729,-7.40398159,3.22113033,3.539757551,0.455302158,-3.696250922,0.152075354,2.237232488,6.423278472,1.461989358,-3.819184627,-0.985473679,0.513067023,7.975269662,6.936028422,8.700733952,5.737182683,8.338825278
"Computer, communications and other services (% of commercial service exports)",Paraguay,PRY,8.793902894,8.102835993,12.39395536,10.03573443,9.366065267,18.45263357,20.39019309,38.69397892,14.01233357,10.86863476,15.73797388,14.79780244,12.87487089,12.27578877,14.05975706,13.82622299,17.23489602,21.1282325,24.82035154
"Computer, communications and other services (% of commercial service exports)",Poland,POL,18.70059765,21.34452062,20.89939176,24.45875828,31.66963755,32.95617618,34.77700782,35.14434453,37.85356647,40.7872456,45.28835015,44.01329293,43.58774346,44.84079858,46.24273897,47.30586722,48.44205741,48.92320264,49.77157727
"Computer, communications and other services (% of commercial service exports)",Portugal,PRT,20.36127553,22.12733221,23.20678109,24.0990467,25.38696878,25.51677388,28.20541188,29.54530944,29.78771926,31.13167826,28.17682985,29.21267131,27.54509443,30.1881729,28.57707854,28.31202926,28.10012223,26.06580498,25.08693765
"Computer, communications and other services (% of commercial service exports)",Philippines,PHL,51.7351842,51.57424335,51.89237668,55.08295094,54.42681299,61.31413006,57.88077049,54.04896394,69.5401717,74.43369666,76.50435703,74.55792965,71.45987409,72.07777436,71.6535038,73.35784319,75.91774218,71.86206912,70.53480203
"Computer, communications and other services (% of commercial service exports)",Qatar,QAT,,,,,,,,,,,,2.043127215,7.982867252,4.656872556,6.978494624,7.807690809,6.963614735,5.181899403,8.116752681
"Computer, communications and other services (% of commercial service exports)",Russian Federation,RUS,37.00592369,34.18128206,35.27624651,39.87957276,39.29494156,45.10974877,47.26452541,47.50180313,49.29419506,48.9905485,48.22654198,47.48528679,48.48039854,49.41598963,47.09305151,47.09797591,46.83772371,46.74675876,44.15283971
"Computer, communications and other services (% of commercial service exports)",Saudi Arabia,SAU,,,,,,42.33808398,49.41172818,49.11161925,2.807192264,2.776123802,3.496415221,3.013424492,3.75135965,3.419292016,3.762479102,1.944557366,1.772382982,2.05627756,5.865698882
"Computer, communications and other services (% of commercial service exports)",Singapore,SGP,25.29338898,27.37354964,29.44640327,30.57381404,32.43012841,31.78369326,35.23029714,32.38047564,33.39912199,36.49437957,32.67373513,34.3521061,36.07590231,38.45307955,38.74852853,42.37859596,43.06955521,42.27783423,42.84093557
"Computer, communications and other services (% of commercial service exports)",Slovenia,SVN,21.9373673,22.20860149,24.44829078,23.01701242,22.93886058,24.92631685,23.09212561,24.86285338,31.98394522,30.01173776,28.35070487,29.04249461,31.01494389,32.47190322,33.17971105,33.28269474,34.59068906,34.43785202,34.23370439
"Computer, communications and other services (% of commercial service exports)",South Africa,ZAF,11.68511864,14.70605449,12.71041301,10.69201749,11.64551531,11.8809519,12.10855048,13.16512916,14.27049766,14.83519752,15.31369205,16.94887267,16.76950575,17.64545868,18.05595099,19.59219935,20.54186313,20.51553305,20.57714802
"Computer, communications and other services (% of commercial service exports)",Spain,ESP,40.2016603,41.79926381,43.60193375,42.46762508,42.5626875,44.04402291,46.43035047,47.55622613,48.65383519,47.76590454,48.80395942,49.19267718,49.59759545,31.32467994,32.62001125,33.29178472,34.14495522,32.46575851,33.04132424
"Computer, communications and other services (% of commercial service exports)",Switzerland,CHE,28.69635803,30.11946271,33.67446646,32.70956295,34.61426236,35.38352503,33.28673912,32.01355538,34.38570667,39.19834879,42.20170499,43.75712697,47.02318885,47.58602914,49.0923927,51.05409397,53.06290704,52.0511523,52.61126269
